,pdb id,unfiltered lig,metal,covalent lig,lig,lig filtered,lig num,res,res lig,res site frac,res filtered,res filtered lig,res num,lig (type),lig num (type),lig (mass),lig num (mass),rna frac,ribosomal rna,viral rna,ribozyme,riboswitch,aptamer,primer complex,splicing-related,other structure,type num,elements,elements out,size dim1,size dim2,size dim3,size
181,5ZEJ,"['1MA', 'HOH', 'PAR']",[],"['1MA', '1MA', '1MA', '1MA']","['HOH', 'PAR']",['PAR'],1,[101],['PAR'],[1.0],[101],['PAR'],1,['PAR'],1.0,['PAR'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],31.204062,30.007092,55.73499,55.73499
182,4JI7,"['2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU']","['HOH', 'MA6']",['MA6'],1,"[1518, 1519]","['MA6', 'MA6']","[1.0, 1.0]","[1518, 1519]","['MA6', 'MA6']",2,['MA6'],1.0,['MA6'],1,0.6280705171910003,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],141.80908,232.86562,134.02486,232.86562
185,7OAV,"['CL', 'GTP', 'HOH', 'IR', 'K', 'V5Z']","['K', 'CL', 'IR']","['GTP', 'GTP', 'GTP']","['HOH', 'V5Z']",['V5Z'],1,[101],['V5Z'],[1.0],[101],['V5Z'],1,['V5Z'],1.0,['V5Z'],1,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],46.79381,45.316605,58.336456,58.336456
186,1HNW,"['MG', 'TAC', 'ZN']","['MG', 'ZN']",[],['TAC'],['TAC'],1,"[1632, 1633]","['TAC', 'TAC']","[0.9721115537848606, 0.9364161849710982]","[1632, 1633]","['TAC', 'TAC']",2,['TAC'],1.0,['TAC'],1,0.627906976744186,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],298.25327,181.48216,141.29453,298.25327
187,4QK8,"['23G', '2BA', 'GTP', 'HOH', 'K', 'MG', 'SO4']","['MG', 'K', 'SO4']","['GTP', '23G']","['2BA', 'HOH']",['2BA'],1,"[201, 202]","['2BA', '2BA']","[1.0, 1.0]","[201, 202]","['2BA', '2BA']",2,['2BA'],1.0,['2BA'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],84.77539,52.60986,58.968864,84.77539
188,4KHP,"['MG', 'PAR', 'PCY']",['MG'],[],"['PAR', 'PCY']",['PAR' 'PCY'],2,"[1601, 1602, 1603, 1604, 1605, 1606, 1607, 1608]","['PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PCY']","[0.9502487562189055, 0.8839103869653768, 0.8793456032719836, 0.7714932126696833, 0.9682926829268292, 0.6979591836734694, 1.0, 0.8991825613079019]","[1601, 1602, 1603, 1604, 1605, 1606, 1607, 1608]","['PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PCY']",8,"['PAR', 'PCY']",2.0,"['PAR', 'PCY']",2,0.6294932661563802,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],151.5297,195.84442,141.59186,195.84442
197,4DV4,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6']",['MA6'],1,"[1518, 1519]","['MA6', 'MA6']","[1.0, 1.0]","[1518, 1519]","['MA6', 'MA6']",2,['MA6'],1.0,['MA6'],1,0.6279496080190335,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],301.32324,182.60793,140.67024,301.32324
200,3B4C,"['3AD', 'GLP', 'HOH', 'MG']",['MG'],['3AD'],"['GLP', 'HOH']",['GLP'],1,[201],['GLP'],[1.0],[201],['GLP'],1,['GLP'],1.0,['GLP'],1,1.0,0,0,1,1,0,0,0,0,2,['C' 'N' 'O' 'P'],[],91.17651,44.13595,58.101048,91.17651
204,1HNX,"['MG', 'PCY', 'ZN']","['MG', 'ZN']",[],['PCY'],['PCY'],1,[1632],['PCY'],[0.8931297709923665],[1632],['PCY'],1,['PCY'],1.0,['PCY'],1,0.627906976744186,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],298.5268,181.63576,141.23102,298.5268
205,4JI2,"['2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU']","['HOH', 'MA6']",['MA6'],1,"[1518, 1519]","['MA6', 'MA6']","[1.0, 1.0]","[1518, 1519]","['MA6', 'MA6']",2,['MA6'],1.0,['MA6'],1,0.627758714809327,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],299.72018,181.74841,140.48135,299.72018
207,6PCH,"['1MG', '2MA', '2MG', '3TD', '5MC', '5MU', '6MZ', 'G7M', 'O8D', 'OMC', 'OMG', 'OMU', 'PSU']",[],"['1MG', '1MG', 'PSU', '5MU', 'PSU', '5MU', 'PSU', 'PSU', '6MZ', '6MZ', '2MG', '2MG', 'PSU', 'PSU', 'PSU', '3TD', '3TD', 'PSU', 'PSU', '5MU', '5MU', '5MC', '5MC', 'G7M', 'G7M', 'OMG', 'OMG', '2MG', '2MG', '2MG', 'PSU', 'PSU', 'OMC', 'OMC', '2MA', '2MA', 'PSU', 'PSU', 'OMU', 'OMU', 'PSU', 'PSU', 'PSU', 'PSU']",['O8D'],['O8D'],1,[3001],['O8D'],[1.0],[3001],['O8D'],1,['O8D'],1.0,['O8D'],1,0.8972809245973032,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],391.73834,367.28052,378.23325,391.73834
210,1YKV,"['DAI', 'MG']",['MG'],[],['DAI'],['DAI'],1,[100],['DAI'],[1.0],[100],['DAI'],1,['DAI'],1.0,['DAI'],1,1.0,0,0,1,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],85.72057,54.70219,46.64891,85.72057
211,4GPW,"['6HS', 'HOH']",[],[],"['6HS', 'HOH']",['6HS'],1,"[101, 102]","['6HS', '6HS']","[1.0, 1.0]","[101, 102]","['6HS', '6HS']",2,['6HS'],1.0,['6HS'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],40.673,30.020615,40.82637,40.82637
217,1IBL,"['MG', 'PAR', 'ZN']","['MG', 'ZN']",[],['PAR'],['PAR'],1,[1545],['PAR'],[0.9333333333333333],[1545],['PAR'],1,['PAR'],1.0,['PAR'],1,0.6315425807566074,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],297.03528,181.47865,141.04228,297.03528
218,4DR6,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'SRY', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'MA6', 'MA6', 'MA6', 'PSU', 'PSU', '0TD', '0TD', 'PSU', 'PSU', 'PSU', 'PSU']","['HOH', 'SRY']",['SRY'],1,[1956],['SRY'],[0.8403547671840355],[1956],['SRY'],1,['SRY'],1.0,['SRY'],1,0.6314155708942274,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],300.3517,182.12065,139.93448,300.3517
220,7TDB,"['A23', 'GMI', 'HOH', 'MG', 'MN']","['MG', 'MN']",['A23'],"['GMI', 'HOH']",['GMI'],1,[101],['GMI'],[1.0],[101],['GMI'],1,['GMI'],1.0,['GMI'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],35.421997,38.833725,54.494022,54.494022
224,2GDI,"['CCC', 'GTP', 'HOH', 'K', 'MG', 'NA', 'TPP']","['NA', 'K', 'MG']","['GTP', 'CCC', 'GTP', 'CCC']","['HOH', 'TPP']",['TPP'],1,[100],['TPP'],[1.0],[100],['TPP'],1,['TPP'],1.0,['TPP'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],65.62369,45.84398,88.99459,88.99459
226,7DUG,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HJR', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HJR', 'HOH', 'MA6']",['HJR' 'MA6'],2,"[1601, 1518, 1519]","['HJR', 'MA6', 'MA6']","[0.9602977667493796, 1.0, 1.0]","[1601, 1518, 1519]","['HJR', 'MA6', 'MA6']",3,"['HJR', 'MA6']",2.0,"['HJR', 'MA6']",2,0.6310792257266065,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],298.57614,181.84282,139.80272,298.57614
228,2HO7,"['A23', 'G6P', 'HOH', 'MG']",['MG'],['A23'],"['G6P', 'HOH']",['G6P'],1,[401],['G6P'],[1.0],[401],['G6P'],1,['G6P'],1.0,['G6P'],1,1.0,0,0,1,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],92.25381,47.0583,52.834393,92.25381
232,2UXD,"['K', 'MG', 'PAR', 'ZN']","['MG', 'K', 'ZN']",[],['PAR'],['PAR'],1,[3001],['PAR'],[0.931924882629108],[3001],['PAR'],1,['PAR'],1.0,['PAR'],1,0.6253456939196822,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],296.8262,181.63318,139.55963,296.8262
234,7EOJ,"['CS', 'GDP', 'HOH', 'J8F', 'MG']","['MG', 'CS']",['GDP'],"['HOH', 'J8F']",['J8F'],1,[101],['J8F'],[1.0],[101],['J8F'],1,['J8F'],1.0,['J8F'],1,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],58.624393,41.019375,36.78877,58.624393
235,7OAX,"['CL', 'GOL', 'GTP', 'HOH', 'K', 'MG', 'SPM', 'V5Z']","['CL', 'K', 'MG']","['GTP', 'GTP', 'GTP', 'GTP']","['GOL', 'HOH', 'SPM', 'V5Z']",['V5Z'],1,"[102, 103]","['V5Z', 'V5Z']","[1.0, 1.0]","[102, 103]","['V5Z', 'V5Z']",2,['V5Z'],1.0,"['SPM', 'V5Z']",2,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],40.5321,46.668186,61.09799,61.09799
243,3CC4,"['1MA', 'ANM', 'CD', 'CL', 'HOH', 'K', 'MG', 'NA', 'OMG', 'OMU', 'PSU', 'SR', 'UR3']","['MG', 'CL', 'SR', 'NA', 'CD', 'K']","['1MA', '1MA', 'OMU', 'OMG', 'OMU', 'OMG', 'UR3', 'UR3', 'PSU', 'PSU']","['ANM', 'HOH']",['ANM'],1,[2924],['ANM'],[0.9921465968586387],[2924],['ANM'],1,['ANM'],1.0,['ANM'],1,0.6767929053979711,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],158.56361,213.41745,208.9351,213.41745
246,5DHC,"['5GP', 'HOH', 'LCA', 'LCC', 'LCG', 'MG']",['MG'],"['LCC', 'LCA', 'LCC', 'LCA', 'LCG', 'LCG', 'LCC', 'LCA', 'LCC', 'LCA', 'LCG', 'LCG', 'LCC', 'LCA', 'LCC', 'LCA', 'LCG', 'LCG', 'LCC', 'LCA', 'LCC', 'LCA', 'LCG', 'LCG']","['5GP', 'HOH']",['5GP'],1,"[104, 105, 106]","['5GP', '5GP', '5GP']","[1.0, 1.0, 1.0]","[104, 105, 106]","['5GP', '5GP', '5GP']",3,['5GP'],1.0,['5GP'],1,1.0,0,0,0,0,0,0,0,1,1,['C' 'N' 'O' 'P'],[],32.681965,52.107388,87.728134,87.728134
256,6E8T,"['HOH', 'HZG', 'K', 'NA']","['K', 'NA']",[],"['HOH', 'HZG']",['HZG'],1,[101],['HZG'],[1.0],[101],['HZG'],1,['HZG'],1.0,['HZG'],1,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],44.009262,53.10899,103.05494,103.05494
259,2FCZ,"['5BU', 'HOH', 'K', 'RIO']",['K'],"['5BU', '5BU', '5BU', '5BU', '5BU', '5BU', '5BU', '5BU']","['HOH', 'RIO']",['RIO'],1,"[1024, 2024, 4024, 3024]","['RIO', 'RIO', 'RIO', 'RIO']","[1.0, 1.0, 1.0, 1.0]","[1024, 2024, 4024, 3024]","['RIO', 'RIO', 'RIO', 'RIO']",4,['RIO'],1.0,['RIO'],1,1.0,1,0,0,0,0,0,0,0,1,['BR' 'C' 'N' 'O' 'P'],['BR'],46.71103,50.026962,49.98004,50.026962
260,6WRS,['U7V'],[],[],['U7V'],['U7V'],1,[3001],['U7V'],[1.0],[3001],['U7V'],1,['U7V'],1.0,['U7V'],1,0.7425143054459353,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],333.34814,348.45065,266.17206,348.45065
261,5WNU,"['0TD', '12A', '2MG', '4OC', '5MC', '70U', '7MG', 'A2M', 'B6M', 'HOH', 'K', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'K', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'MA6', 'MA6', 'MA6', 'PSU', 'PSU', 'PSU', '0TD', '0TD', 'A2M', 'A2M', '70U', '70U', '12A', '12A']","['B6M', 'HOH']",['B6M'],1,[1858],['B6M'],[0.9432624113475178],[1858],['B6M'],1,['B6M'],1.0,['B6M'],1,0.6284319825775841,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],296.35574,181.53777,139.796,296.35574
265,3GX5,"['HOH', 'K', 'MG', 'SAM']","['MG', 'K']",[],"['HOH', 'SAM']",['SAM'],1,[301],['SAM'],[0.9402654867256637],[301],['SAM'],1,['SAM'],1.0,['SAM'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],29.12715,50.423626,47.40761,50.423626
269,4DR5,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'SRY', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6', 'SRY']",['MA6' 'SRY'],2,"[1860, 1518, 1519]","['SRY', 'MA6', 'MA6']","[0.8432671081677704, 1.0, 1.0]","[1860, 1518, 1519]","['SRY', 'MA6', 'MA6']",3,"['MA6', 'SRY']",2.0,"['MA6', 'SRY']",2,0.6298487836949376,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],297.04367,183.01251,140.16298,297.04367
277,6DDG,['G6M'],[],[],['G6M'],['G6M'],1,[3001],['G6M'],[1.0],[3001],['G6M'],1,['G6M'],1.0,['G6M'],1,0.7410978016314936,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],305.97556,320.7078,245.60002,320.7078
285,4WFB,"['3LK', 'EOH', 'EPE', 'MG', 'MN', 'MPD', 'SPD']","['MG', 'MN']",[],"['3LK', 'EOH', 'EPE', 'MPD', 'SPD']",['3LK'],1,[3001],['3LK'],[1.0],[3001],['3LK'],1,['3LK'],1.0,"['3LK', 'EPE']",2,0.7521052827982536,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],158.46234,167.58205,134.4759,167.58205
293,4NXM,"['0TD', '2MG', '4OC', '5MC', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6']",['MA6'],1,"[1518, 1519]","['MA6', 'MA6']","[1.0, 1.0]","[1518, 1519]","['MA6', 'MA6']",2,['MA6'],1.0,['MA6'],1,0.6281091617933723,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],299.10645,182.14738,140.59079,299.10645
303,6YLB,"['CBV', 'HOH', 'SAM']",[],"['CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV']","['HOH', 'SAM']",['SAM'],1,[101],['SAM'],[1.0],[101],['SAM'],1,['SAM'],1.0,['SAM'],1,1.0,0,0,0,1,0,0,0,0,1,['BR' 'C' 'H' 'N' 'O' 'P'],['BR'],77.58671,86.24594,39.07109,86.24594
305,7OOD,"['CLM', 'K', 'MG', 'ZN']","['K', 'MG', 'ZN']",[],['CLM'],['CLM'],1,[3026],['CLM'],[0.9884057971014493],[3026],['CLM'],1,['CLM'],1.0,['CLM'],1,0.7146769505924435,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],401.66733,450.94095,442.3543,450.94095
309,6QIR,"['HOH', 'J48']",[],[],"['HOH', 'J48']",['J48'],1,"[101, 102]","['J48', 'J48']","[1.0, 1.0]","[101, 102]","['J48', 'J48']",2,['J48'],1.0,['J48'],1,1.0,0,0,0,0,0,0,0,1,1,['C' 'N' 'O' 'P'],[],29.418396,28.003782,30.126007,30.126007
313,1J7T,"['HOH', 'PAR']",[],[],"['HOH', 'PAR']",['PAR'],1,"[45, 46]","['PAR', 'PAR']","[1.0, 1.0]","[45, 46]","['PAR', 'PAR']",2,['PAR'],1.0,['PAR'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],47.348724,48.421417,87.93978,87.93978
315,4X65,"['0TD', '12A', '2MG', '4OC', '5MC', '6MZ', '70U', '7MG', 'HOH', 'K', 'M2G', 'MA6', 'MG', 'PAR', 'PSU', 'UR3', 'ZN']","['MG', 'K', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'MA6', 'MA6', 'MA6', 'PSU', 'PSU', 'PSU', '0TD', '0TD', '6MZ', '6MZ', '70U', '70U', '12A', '12A', 'PSU', 'PSU']","['HOH', 'PAR']",['PAR'],1,"[1601, 1602, 1603, 1604, 1605, 1606]","['PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR']","[0.926605504587156, 0.8836734693877552, 1.0, 0.8034934497816594, 0.7625272331154684, 0.9688249400479616]","[1601, 1602, 1603, 1604, 1605, 1606]","['PAR', 'PAR', 'PAR', 'PAR', 'PAR', 'PAR']",6,['PAR'],1.0,['PAR'],1,0.6294838484507698,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],297.43982,182.40118,140.96161,297.43982
317,6E81,"['K', 'TFX']",['K'],[],['TFX'],['TFX'],1,[101],['TFX'],[1.0],[101],['TFX'],1,['TFX'],1.0,['TFX'],1,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],32.7302,79.49576,36.079437,79.49576
319,7EDL,"['GET', 'HG', 'HOH']",['HG'],[],"['GET', 'HOH']",['GET'],1,[101],['GET'],[1.0],[101],['GET'],1,['GET'],1.0,['GET'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],31.330534,31.882658,58.58324,58.58324
320,6QIQ,"['CSL', 'HOH', 'J48']",[],"['CSL', 'CSL', 'CSL', 'CSL']","['HOH', 'J48']",['J48'],1,[101],['J48'],[1.0],[101],['J48'],1,['J48'],1.0,['J48'],1,1.0,0,0,0,0,0,0,0,1,1,['C' 'N' 'O' 'P' 'SE'],['SE'],22.500172,28.106054,18.598963,28.106054
322,6U89,"['HOH', 'LCC', 'LCG', 'TG', 'TLN']",[],"['LCC', 'TLN', 'LCG', 'TLN', 'LCG', 'LCC', 'TLN', 'LCG', 'TLN', 'LCG']","['HOH', 'TG']",['TG'],1,"[101, 102]","['TG', 'TG']","[1.0, 1.0]","[101, 102]","['TG', 'TG']",2,['TG'],1.0,['TG'],1,1.0,0,0,0,0,0,0,0,1,1,['C' 'N' 'O' 'P'],[],51.439533,38.481125,24.061691,51.439533
323,5IWA,"['6EK', 'MG', 'ZN']","['MG', 'ZN']",[],['6EK'],['6EK'],1,[201],['6EK'],[0.6],[201],['6EK'],1,['6EK'],1.0,['6EK'],1,0.6275636560637722,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],497.20197,265.66037,141.63446,497.20197
328,2OGO,['G34'],[],[],['G34'],['G34'],1,[0],['G34'],[1.0],[0],['G34'],1,['G34'],1.0,['G34'],1,0.9965569943400346,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],141.04236,269.1191,211.12202,269.1191
334,3SLM,"['CCC', 'DGP', 'GTP', 'HOH', 'MG', 'SIN', 'SO4']","['SO4', 'MG']","['GTP', 'CCC', 'GTP', 'CCC']","['DGP', 'HOH', 'SIN']",['DGP'],1,[120],['DGP'],[1.0],[120],['DGP'],1,['DGP'],1.0,['DGP'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],66.37532,29.858076,50.167786,66.37532
335,7M4V,"['2MA', '2MG', '3TD', '5MU', '6MZ', '7MG', 'HOH', 'MG', 'OMG', 'OMU', 'PSU', 'YQM', 'ZN']","['ZN', 'MG']","['PSU', 'PSU', 'PSU', 'PSU', '3TD', '3TD', 'PSU', 'PSU', '5MU', '5MU', '6MZ', '6MZ', '7MG', '7MG', 'OMG', 'OMG', '2MG', '2MG', 'PSU', 'PSU', '2MA', '2MA', 'PSU', 'PSU', 'OMU', 'OMU', 'PSU', 'PSU', 'PSU', 'PSU']","['HOH', 'YQM']",['YQM'],1,"[3201, 3202]","['YQM', 'YQM']","[1.0, 1.0]","[3201, 3202]","['YQM', 'YQM']",2,['YQM'],1.0,['YQM'],1,0.7141966816006396,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],319.51126,335.78745,335.66864,335.78745
340,5WNR,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['5MC', 'PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6']",['MA6'],1,"[1518, 1519]","['MA6', 'MA6']","[1.0, 1.0]","[1518, 1519]","['MA6', 'MA6']",2,['MA6'],1.0,['MA6'],1,0.6279423523217037,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],297.23862,180.844,140.22084,297.23862
342,6QIS,"['HOH', 'J48', 'SO4']",['SO4'],[],"['HOH', 'J48']",['J48'],1,"[101, 102]","['J48', 'J48']","[1.0, 1.0]","[101, 102]","['J48', 'J48']",2,['J48'],1.0,['J48'],1,1.0,0,0,0,0,0,0,0,1,1,['C' 'N' 'O' 'P'],[],31.950598,41.38134,37.591114,41.38134
345,1HNZ,"['HYG', 'MG', 'ZN']","['MG', 'ZN']",[],['HYG'],['HYG'],1,[1632],['HYG'],[1.0],[1632],['HYG'],1,['HYG'],1.0,['HYG'],1,0.627906976744186,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],298.83444,181.89232,140.17772,298.83444
348,2OGM,['G19'],[],[],['G19'],['G19'],1,[2881],['G19'],[0.9869565217391304],[2881],['G19'],1,['G19'],1.0,['G19'],1,0.9963910430724812,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],140.97914,269.6962,213.5581,269.6962
349,2ET5,"['HOH', 'RIO', 'SO4']",['SO4'],[],"['HOH', 'RIO']",['RIO'],1,"[51, 52, 53, 54]","['RIO', 'RIO', 'RIO', 'RIO']","[1.0, 1.0, 1.0, 1.0]","[51, 52, 53, 54]","['RIO', 'RIO', 'RIO', 'RIO']",4,['RIO'],1.0,['RIO'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],55.647392,39.45307,40.77383,55.647392
353,4JI6,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6']",['MA6'],1,"[1518, 1519]","['MA6', 'MA6']","[1.0, 1.0]","[1518, 1519]","['MA6', 'MA6']",2,['MA6'],1.0,['MA6'],1,0.628241850314686,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],142.1412,236.47536,135.59792,236.47536
355,4ZNP,"['AMZ', 'HOH', 'MG']",['MG'],[],"['AMZ', 'HOH']",['AMZ'],1,[101],['AMZ'],[1.0],[101],['AMZ'],1,['AMZ'],1.0,['AMZ'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],89.91798,58.88152,53.927437,89.91798
362,1NTB,"['HOH', 'MG', 'NA', 'SRY']","['MG', 'NA']",[],"['HOH', 'SRY']",['SRY'],1,[25],['SRY'],[1.0],[25],['SRY'],1,['SRY'],1.0,['SRY'],1,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],34.77463,48.56605,30.84762,48.56605
364,2OGN,['G80'],[],[],['G80'],['G80'],1,[2881],['G80'],[1.0],[2881],['G80'],1,['G80'],1.0,['G80'],1,0.996558323819757,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],141.36919,273.5389,211.67262,273.5389
367,4XWF,"['AMZ', 'CAC', 'HOH', 'IRI', 'MG']","['MG', 'IRI', 'CAC']",[],"['AMZ', 'HOH']",['AMZ'],1,[101],['AMZ'],[1.0],[101],['AMZ'],1,['AMZ'],1.0,['AMZ'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],55.92419,44.58113,38.827023,55.92419
